Macrotrends Data Download

U.S. GNP 1962-2021


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GNP, Per Capita, Growth Rate
date, Billions of US $, US $, Annual % Growth
1962-12-31,612.17855004765,3280
1963-12-31,646.23388682665,3410
1964-12-31,692.32821951294,3610
1965-12-31,753.29453037594,3880
1966-12-31,824.18357723419,4190
1967-12-31,868.29529097196,4370
1968-12-31,952.03398099325,4740
1969-12-31,1027.990251284,5070
1970-12-31,1071.9899143386,5230
1971-12-31,1167.2308430575,5620,3.3509
1972-12-31,1317.546931258,6280,5.2751
1973-12-31,1544.6674612049,7290,5.8724
1974-12-31,1707.5011601363,7980,-0.4294
1975-12-31,1837.6156230113,8510,-0.4288
1976-12-31,1954.0154987648,8960,5.5184
1977-12-31,2112.8447450106,9590,4.6954
1978-12-31,2395.5999846195,10760,5.4708
1979-12-31,2745.6543053343,12200,3.4632
1980-12-31,3041.382280423,13380,-0.2835
1981-12-31,3295.800708332,14360,2.367
1982-12-31,3293.7086951908,14220,-1.7285
1983-12-31,3405.7059034643,14570,4.5126
1984-12-31,3821.6732781602,16210,7.1007
1985-12-31,4154.7137313233,17460,3.8498
1986-12-31,4588.118371424,19110,3.2435
1987-12-31,5183.3688306358,21390,3.4478
1988-12-31,5744.1113320877,23490,4.2521
1989-12-31,5866.294509761,23770,3.6794
1990-12-31,6006.2239059171,24060,2.0289
1991-12-31,6140.6560370502,24270,-0.1739
1992-12-31,6587.0444298348,25680,3.4846
1993-12-31,6858.4739722926,26390,2.7303
1994-12-31,7276.7437761675,27650,3.8851
1995-12-31,7731.9750331414,29040,2.7356
1996-12-31,8154.3199711913,30270,3.7893
1997-12-31,8526.9983482213,31270,4.3331
1998-12-31,8835.7707345387,32030,4.3997
1999-12-31,9394.4864672079,33670,4.8289
2000-12-31,10147.418121467,35960,4.2054
2001-12-31,10462.196419348,36710,1.1194
2002-12-31,10732.734658357,37320,1.695
2003-12-31,11536.230254896,39770,2.9581
2004-12-31,12740.785534277,43510,3.932
2005-12-31,13648.863758032,46190,3.4678
2006-12-31,14284.922398498,47870,2.6187
2007-12-31,14608.595029796,48500,2.2675
2008-12-31,14895.016620356,48980,0.1455
2009-12-31,14645.979981358,47740,-2.5903
2010-12-31,15155.236576389,48990,2.8859
2011-12-31,15760.432948942,50580,1.7597
2012-12-31,16558.980098152,52760,2.1654
2013-12-31,17045.58872115,53930,1.7871
2014-12-31,17778.918029582,55840,2.5294
2015-12-31,18200.095600169,56740,2.9147
2016-12-31,18503.587290169,57270,1.7449
2017-12-31,19332.39643838,59460,2.5946
2018-12-31,20758.59814975,63510,2.8807
2019-12-31,21640.511015448,65910,2.0392
