Macrotrends Data Download

U.S. Poverty Rate 1974-2021


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, % Under US $5.50 Per Day, Change, 
1974-12-31,1.7
1979-12-31,1.2,-0.5
1986-12-31,1.2,0
1991-12-31,1.2,0
1992-12-31,1.5,0.3
1993-12-31,1.2,-0.3
1994-12-31,1.5,0.3
1995-12-31,1.2,-0.3
1996-12-31,1.2,0
1997-12-31,1.2,0
1998-12-31,1.5,0.3
1999-12-31,1.2,-0.3
2000-12-31,1.2,0
2001-12-31,1.5,0.3
2002-12-31,1.5,0
2003-12-31,1.7,0.2
2004-12-31,1.7,0
2005-12-31,1.5,-0.2
2006-12-31,1.7,0.2
2007-12-31,1.5,-0.2
2008-12-31,1.7,0.2
2009-12-31,1.5,-0.2
2010-12-31,1.7,0.2
2011-12-31,1.7,0
2012-12-31,1.7,0
2013-12-31,1.7,0
2014-12-31,2,0.3
2015-12-31,1.7,-0.3
2016-12-31,1.7,0
2017-12-31,1.7,0
2018-12-31,1.7,0
