Macrotrends Data Download

U.S. Population Density 1950-2021
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population per Square KM, Annual % Change
1950-12-31,16.1525946
1951-12-31,16.3629255,1.3
1952-12-31,16.6064041,1.49
1953-12-31,16.8753328,1.62
1954-12-31,17.162815,1.7
1955-12-31,17.4627637,1.75
1956-12-31,17.7699054,1.76
1957-12-31,18.0797744,1.74
1958-12-31,18.3886699,1.71
1959-12-31,18.6935936,1.66
1960-12-31,18.9920542,1.6
1961-12-31,19.2818644,1.53
1962-12-31,19.5609572,1.45
1963-12-31,19.8273107,1.36
1964-12-31,20.0791643,1.27
1965-12-31,20.3156663,1.18
1966-12-31,20.53558,1.08
1967-12-31,20.7399555,1
1968-12-31,20.9332802,0.93
1969-12-31,21.1218076,0.9
1970-12-31,21.3103929,0.89
1971-12-31,21.5006716,0.89
1972-12-31,21.6924767,0.89
1973-12-31,21.8866478,0.9
1974-12-31,22.0835771,0.9
1975-12-31,22.2835812,0.91
1976-12-31,22.4875354,0.92
1977-12-31,22.6959707,0.93
1978-12-31,22.9083125,0.94
1979-12-31,23.1235403,0.94
1980-12-31,23.3409063,0.94
1981-12-31,23.560578,0.94
1982-12-31,23.7829025,0.94
1983-12-31,24.0075266,0.94
1984-12-31,24.2340031,0.94
1985-12-31,24.4621452,0.94
1986-12-31,24.6923563,0.94
1987-12-31,24.9252443,0.94
1988-12-31,25.1611669,0.95
1989-12-31,25.4005544,0.95
1990-12-31,25.6441085,0.96
1991-12-31,25.8901603,0.96
1992-12-31,26.1394855,0.96
1993-12-31,26.3979927,0.99
1994-12-31,26.6735421,1.04
1995-12-31,26.9708056,1.11
1996-12-31,27.2933662,1.2
1997-12-31,27.6370196,1.26
1998-12-31,27.9891188,1.27
1999-12-31,28.332184,1.23
2000-12-31,28.6538801,1.14
2001-12-31,28.9485535,1.03
2002-12-31,29.220264,0.94
2003-12-31,29.478235,0.88
2004-12-31,29.736496,0.88
2005-12-31,30.0049037,0.9
2006-12-31,30.2861889,0.94
2007-12-31,30.5760182,0.96
2008-12-31,30.8687081,0.96
2009-12-31,31.1556991,0.93
2010-12-31,31.4307238,0.88
2011-12-31,31.6923898,0.83
2012-12-31,31.9425892,0.79
2013-12-31,32.1822933,0.75
2014-12-31,32.4134758,0.72
2015-12-31,32.6377444,0.69
2016-12-31,32.8551764,0.67
2017-12-31,33.0655979,0.64
2018-12-31,33.270196,0.62
2019-12-31,33.4704351,0.6
2020-12-31,33.6675293,0.59
2021-12-31,33.862049,0.58
2022-12-31,34.0543079,0.57
2023-12-31,34.2449154,0.56
2024-12-31,34.434442,0.55
2025-12-31,34.6233286,0.55
2026-12-31,34.8117411,0.54
2027-12-31,34.9997819,0.54
2028-12-31,35.1876614,0.54
2029-12-31,35.3755464,0.53
2030-12-31,35.5633952,0.53
2031-12-31,35.7513936,0.53
2032-12-31,35.9390828,0.52
2033-12-31,36.1249611,0.52
2034-12-31,36.3070345,0.5
2035-12-31,36.4838157,0.49
2036-12-31,36.6547825,0.47
2037-12-31,36.8201449,0.45
2038-12-31,36.9800783,0.43
2039-12-31,37.1350416,0.42
2040-12-31,37.2854377,0.4
2041-12-31,37.4313227,0.39
2042-12-31,37.572718,0.38
2043-12-31,37.7100062,0.37
2044-12-31,37.8436671,0.35
