date,GDP,poverty,tradebalance,population,GNIUSD,GNPUSD,GDPcap,sp500,rep_congress,rep_senate
1970-12-31,-1.518018920123962,1.09330134079074,1.0345428507413323,-1.0905389725342842,-0.49270736746985744,0.1002785738522696,-1.689861673121147,-0.9819057161151751,,-0.7957254865461447
1971-12-31,0.16566187436910793,0.9442542484411678,0.8733476166050018,-0.49108046368685393,-0.4175465248656936,0.18762482933627075,-1.606631516020138,-0.9605590411364354,-0.5525657275216694,-0.7957254865461447
1972-12-31,1.0591186635848342,0.8004289449717185,0.7109226667600663,-0.46854643749081637,-0.35441848913849844,0.18865298667054506,-1.4846791476501011,-0.9450769151698897,-0.5525657275216694,-0.6212242833562008
1973-12-31,1.234946232177377,0.6626113610024476,0.9938085178937853,-0.4336175158583413,-0.30669865330050655,0.19365296271675647,-1.3222759464240799,-0.9476064890692293,-0.18672910792111586,-0.6212242833562008
1974-12-31,-1.577112984025282,0.8993608230408408,0.8190351728082726,-0.3928986013837702,-0.2556493902051485,0.22524406994390725,-1.1097705812392185,-0.9828516492119869,-0.18672910792111586,-0.9702266897360887
1975-12-31,-1.4248321270488036,0.40379741286750587,1.3318778614511622,-0.34750576611935347,-0.19223752948633147,0.23474985894503678,-0.8897923553624959,-0.9777452638054771,-1.65007558632333,-0.9702266897360887
1976-12-31,1.1178490717082998,0.28247725377961724,0.8014092476515983,-0.2891910013938968,-0.11279947382099563,0.24450427715555412,-0.7013978748147554,-0.9552613434182109,-1.65007558632333,-1.8427327056858085
1977-12-31,0.7706032608296974,0.16710332472638012,0.2776528320948376,-0.22303715915911668,-0.03145248946053861,0.2552181943393066,-0.5353718362429013,-0.960662963873663,-1.6805619712900428,-1.8427327056858085
1978-12-31,1.1847617348334871,0.057336468941012686,0.2933317073795537,-0.16536605503514112,0.03387437836064843,0.26731816706525025,-0.4010142404943068,-0.9637664747081469,-1.6805619712900428,-1.6682315024958645
1979-12-31,0.10784060569027781,-0.3640620745181343,0.4063630762621808,-0.12276044732961829,0.03793047856812797,0.28043262429231863,-0.27035139420796217,-0.9538430342430909,-1.2537525817560637,-1.6682315024958645
1980-12-31,-1.4481515538037093,-0.14563832828281967,0.6119305522173485,-0.09119450471137543,0.00950675409964383,0.2942996433189323,-0.13666450021406987,-0.9315079123204918,-1.2537525817560637,-1.1447278929260327
1981-12-31,-0.17785646478648837,-0.23856860242002073,0.6460039249766173,-0.057155783406238794,-0.009258022245782153,0.3070663053936195,-0.03679886080786861,-0.9183876667454863,-0.18672910792111586,-1.1447278929260327
1982-12-31,-2.150961801479331,-0.32589180328935324,0.5399921832639447,-0.01799287414728545,0.013820809612992351,0.31621142858519413,-0.00022947377333358126,-0.9301734498992715,-0.18672910792111586,0.9492865453532946
1983-12-31,0.7522841010202882,-0.40760793089081826,0.11789226628521321,0.015955793725119904,0.06759849666808773,0.3211619142676501,-0.00898739693554146,-0.8724963307378614,-0.9793751170556485,0.9492865453532946
