,dA
201,0.015390726780284244
301,0.015587758592998682
401,0.008634899800670212
501,0.010993631865986113
601,0.00644287506204828
701,0.006141189471824106
801,0.005852635020810841
901,0.003998949336331737
1001,0.0002859670859330331
1101,0.001171684476255385
1201,0.0031140473631276165
1301,0.0018677629220111083
1401,-0.00018436184932364187
1501,-0.0006315765603005646
1601,-6.357951368684243e-05
1701,-0.0003729114861938873
1801,0.0012987568271229828
1901,0.002081126531819591
2001,-0.0017061325831781403
2101,-2.7902941628519737e-05
2201,-0.0006758042730981087
2301,-0.0010558089243793197
2401,0.0014962206294868753
2501,0.0011120959510779373
2601,-0.0007284482899835281
2701,-0.0010081348601204288
2801,-0.0007877000215871025
2901,-0.0007427093308969498
3001,-0.0009150476016877539
3101,0.00020681817972535016
3201,-0.002124994610111378
3301,0.0018314169719998961
3401,-0.0024710288666723416
3501,-0.00022375736163535338
3601,-0.00021999840142551685
3701,-0.0004533622943672499
3801,-0.0026624073780854973
3901,-0.0018233825322592628
4001,-0.0019577267819740583
4101,-0.0004087151931521024
4201,-0.0002829066735610189
4301,0.001126819660993492
4401,-0.001985498267419958
4501,-0.0011055334683177237
4601,-0.0005104603145492763
4701,0.0014224063495268668
4801,-0.0011146653631882823
4901,-0.00013816141137009547
5001,-4.377050349759805e-05
5101,-0.00041955783425994854
5201,-0.0003518176045818576
5301,-0.00033343654232571504
5401,-0.00022546836944513891
5501,0.0005624945016545202
5601,-0.0006550841360380005
5701,0.001066136945593786
5801,0.0003112911929872928
5901,-0.0009462056906667134
6001,-0.0006222734211806195
6101,-0.0002173250574917119
6201,-0.0015263431537761978
6301,-0.0006054033023127035
6401,-0.0005602588981157113
6501,0.00044419075204975116
6601,0.00046401853005731235
6701,-0.0002958821146812063
6801,-0.00048105385591627227
6901,-0.00012104495960031832
7001,-0.0009611766456667989
7101,-0.0007789262659418164
7201,-0.0006165169075635791
7301,1.956922853499181e-05
7401,-0.0004526347846865106
7501,-0.0007798180015066315
7601,-0.0006293635230102332
7701,-0.0009347094455847815
7801,-0.0011133954523725297
7901,-0.001499484083794824
8001,-0.0010989861624570527
8101,-0.0003337428653288812
8201,-0.001381346840414504
8301,0.0007662061271076354
8401,-0.0020365859313971994
8501,-0.00026386790098211974
8601,-0.0004885221688531519
8701,0.0010307440664652275
8801,-0.0008735554260971782
8901,-0.0008123053218932769
9001,-0.00024074549857225
9101,-0.0003831686308599612
9201,0.0005651925583304244
9301,0.0006735752154338262
9401,0.0006950249833767037
9501,-0.00038062924882132157
9601,-0.0002897498149899789
9701,3.159068334414837e-05
9801,0.00027400999324081465
9901,-0.0003672347416615058
